"전출지별","전입지별","항목","단위","2021. 03 월","2021. 04 월","2021. 05 월","1970 년","1971 년","1972 년","1973 년","1974 년","1975 년","1976 년","1977 년","1978 년","1979 년","1980 년","1981 년","1982 년","1983 년","1984 년","1985 년","1986 년","1987 년","1988 년","1989 년","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"전국","전국","이동자수","명","735225","593387","556711","4046536","4210164","3687938","4860418","5297969","9011440","6773250","7397623","8410276","7324380","8258573","8194516","8616474","9795811","9043238","8679097","8660428","9308750","9969020","9316219","9459209","8980841","9031576","8807058","8791714","9073069","8854973","8819909","8156318","9435347","9009441","9289949","9584461","9516605","8567795","8795397","9342074","9070102","8808256","8487275","8226594","8127195","7506691","7411784","7629098","7755286","7378430","7154226","7297099","7104398","7735491",
"전국","전국","순이동자수","명","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","서울특별시","이동자수","명","151617","117475","112967","1742813","1671705","1349333","1831858","2050392","3396662","2756510","2893403","3307439","2589667","2767816","2859860","2997854","3434184","3052558","2784387","2683013","2853398","3388387","3049117","2726492","2437238","2395814","2259333","2240086","2165332","2159555","2074884","1802931","2337989","2219407","2295784","2318051","2242723","1926235","1990749","2173907","2078045","2025358","1873188","1733015","1721748","1555281","1520090","1573594","1589431","1515602","1472937","1439707","1426493","1578127",
"전국","서울특별시","순이동자수","명","-6216","-9738","-8309","293828","252689","138774","184590","230732","459569","260890","215396","278528","148425","164904","148382","131860","141831","132746","30364","-5823","84399","188556","109644","-90992","-36879","-104884","-182632","-236497","-321898","-211237","-178319","-134013","-81122","-46939","-113949","-106421","-68968","-47204","-51007","-36551","-52883","-57994","-52264","-115023","-113058","-103647","-100550","-87831","-137256","-140257","-98486","-110230","-49588","-64850",
"전국","부산광역시","이동자수","명","42381","36090","37416","448577","389797","362202","482061","680984","805979","724664","785117","895337","809483","904252","852671","932367","919150","872967","821207","831658","918310","892506","790991","761684","741748","771852","708358","668188","676037","679854","641886","602418","660060","595975","604650","600936","625355","539108","552771","559915","529343","514502","519310","519334","508043","461042","478451","485710","507031","459015","439073","416095","411704","491829",
"전국","부산광역시","순이동자수","명","-1955","-2085","-1525","72518","61430","42842","67400","126971","111534","95499","88997","112359","75430","51134","25771","13555","6157","22478","13455","31965","31129","23225","-6658","-35860","-35548","-51995","-58925","-57475","-54909","-47245","-44437","-40921","-33357","-43694","-41188","-49442","-42263","-33229","-36975","-34686","-36076","-34604","-29784","-28466","-24863","-20610","-17710","-15092","-13560","-21392","-28398","-26759","-23354","-14347",
"전국","대구광역시","이동자수","명","30967","25138","22295","","","","","","","","","","","","514009","553068","607848","552902","539361","533854","590786","579187","539730","526547","525249","558826","524585","545677","534013","507085","485263","462722","496811","477595","448898","466894","487515","418278","440350","428417","399853","409938","398626","370817","370563","348642","351873","350213","351424","328228","321182","321158","312419","347248",
"전국","대구광역시","순이동자수","명","-2877","-2291","-2391","","","","","","","","","","","","32475","31951","25436","27759","20801","20273","20683","21072","22640","-1477","2464","676","-177","6935","-3279","-21740","-14527","-11838","-6867","-3352","-14233","-9641","-3056","-13327","-24950","-25659","-16545","-12738","-12662","-11840","-12747","-10564","-11351","-15526","-12940","-9260","-11936","-14242","-23673","-16835",
"전국","인천광역시","이동자수","명","40378","35108","35563","","","","","","","","","","","","332958","333362","398906","425509","409361","382620","434814","476438","472576","567863","503687","509700","505825","506471","481438","482811","512513","447707","494576","531318","526842","540812","510347","462835","502168","523457","576619","565585","478169","462051","499567","468666","461613","452297","473223","441646","409465","433639","420014","444556",
"전국","인천광역시","순이동자수","명","-176","-132","227","","","","","","","","","","","","36107","10018","27989","45638","42113","30979","45184","46964","66414","116685","80398","59381","39663","36861","18556","12338","27040","20811","1810","13165","1117","230","-16171","-1335","10965","9618","22721","9419","2098","3612","28809","27794","22035","9324","9538","5777","-1670","-67","-2337","-15748",
