"전출지별","전입지별",2021. 03,2021. 03,2021. 04,2021. 04,2021. 05,2021. 05
"전출지별","전입지별",이동자수 (명),순이동자수 (명),이동자수 (명),순이동자수 (명),이동자수 (명),순이동자수 (명)
"전국","전국",735225,0,593387,0,556711,0
"전국","서울특별시",151617,-6216,117475,-9738,112967,-8309
"전국","부산광역시",42381,-1955,36090,-2085,37416,-1525
"전국","대구광역시",30967,-2877,25138,-2291,22295,-2391
"전국","인천광역시",40378,-176,35108,-132,35563,227
"전국","광주광역시",20424,-1146,17224,-743,16786,-580
"전국","대전광역시",20487,-1274,15976,-828,15358,-517
"전국","울산광역시",12237,-2232,10080,-1140,9873,-1093
"전국","세종특별자치시",6400,987,4939,721,4421,449
"전국","경기도",211876,15135,171897,12600,155395,9322
"전국","강원도",20811,-61,17827,540,16609,892
"전국","충청북도",20652,-201,18142,882,16237,954
"전국","충청남도",29230,1190,23313,1180,21553,1253
"전국","전라북도",21930,-797,17228,-519,16396,260
"전국","전라남도",23393,-510,18130,232,16315,-10
"전국","경상북도",34387,1439,26786,1133,24478,1327
"전국","경상남도",38612,-1556,30589,-348,28217,-687
"전국","제주특별자치도",9443,250,7445,536,6832,428
"서울특별시","전국",157833,6216,127213,9738,121276,8309
"서울특별시","서울특별시",99401,0,81104,0,78702,0
"서울특별시","부산광역시",1432,-960,965,-489,878,-460
"서울특별시","대구광역시",904,-890,627,-404,517,-412
"서울특별시","인천광역시",4148,374,3608,663,3529,703
"서울특별시","광주광역시",786,-517,541,-180,517,-219
"서울특별시","대전광역시",1176,-547,826,-197,760,-167
"서울특별시","울산광역시",427,-417,281,-119,257,-155
"서울특별시","세종특별자치시",536,24,403,55,346,70
"서울특별시","경기도",37249,11767,29839,10508,27457,8701
"서울특별시","강원도",2085,-153,1775,253,1545,190
"서울특별시","충청북도",1334,-312,1099,89,1090,163
"서울특별시","충청남도",2151,-132,1637,142,1528,282
"서울특별시","전라북도",1302,-408,1009,-109,914,12
"서울특별시","전라남도",1147,-303,945,25,833,25
"서울특별시","경상북도",1583,-348,946,-272,906,-193
"서울특별시","경상남도",1248,-938,870,-341,834,-299
